"Publisher","Fuente","Date","calderon","madrazo","amlo","Mercado","Campa","Otros","NA"
"GCE-Diario Monitor","[16]","23 de june de 2006",31.3,27.4,36.3,2.6,0.9,,
"El Universal","[17]","23 de june de 2006",34,26,36,3,1,,
"Reforma","[18]","23 de june de 2006",34,25,36,,,5,
"Ulises Beltrán-La Crónica","[19]","23 de june de 2006",34,26,34,4,1,,1
"Mitofsky-Televisa","[20]","22 de june de 2006",33,27,36,3,1,,
"María de las Heras-Milenio","[21]","22 de june de 2006",30.5,29.6,35.4,4.1,0.5,,
"Parametria-Excelsior","[22]","20 de june de 2006",32.5,27,36.5,3,1,,
"U. Miami /Zogby","[23]","19 de june de 2006",34.5,27.1,31.3,,,7.1,
"GEA-ISA","[24]","18 de june de 2006",38,23,36,,,3,
"Reforma","[25]","14 de june de 2006",35,23,37,3,1,,
"María de las Heras-Milenio","[26]","13 de june de 2006",31,29.6,34.2,4.1,1.1,,
"Mitofsky-Televisa","[27]","13 de june de 2006",32,28,35,4,1,,
"Reforma","[28]","24 de may de 2006",39,22,35,2.3,1.2,,
"Telemundo","[29]","23 de may de 2006",35,14,30,5,1,,
"Zogby","[30]","19 de may de 2006",38,25,33,,,,
"El Universal","[31]","15 de may de 2006",39,21,35,4,1,,
"Parametría","[32]","11 de may de 2006",36,26,34,,1,,
"Ulises Beltrán-La Crónica","[33]","9 de may de 2006",37,27,32,3,1,,
"GEA-ISA","[34]","4 de may de 2006",41,25,31,,,3,
"Mitofsky","[35]","3 de may de 2006",35,27,34,3,1,,
"Reforma","[36]","3 de may de 2006",40,22,33,3.7,0.7,,
"Demotecnia","[37]","2 de may de 2006",36,28,33,3,0,,
"Reforma","[38]","25 de april de 2006",38,23,35,2.6,0.6,1.12,
"El Universal","[39]","17 de april de 2006",34,25,38,2,1,,
"Demotecnia","[40]","6 de april de 2006",31,31,34,3,1,,
"Ulises Beltrán-La Crónica","[41]","3 de april de 2006",34,28,36,,,2,
"GEA-ISA","[42]","31 de march de 2006",36,28,34,,,2,
"Mitofsky","[43]","27 de march de 2006",30.6,28.8,37.5,1.3,1,0.8,
"Reforma","[44]","16 de march de 2006",31,25,41,1,1,,
"El Universal","[45]","13 de march de 2006",32,24,42,1,1,,
"GEA-ISA","[46]","22 de february de 2006",27,22,34,,,1,16
"Mitofsky","[47]","22 de february de 2006",29.8,27.5,39.4,,,,
"Reforma","S/NC","21 de february de 2006",31,29,38,,,,
"El Universal","[49]","20 de february de 2006",27,22,30,1,1,,19
